sid,group,activity,item,rating,rating_norm
13,0,A1,time,6,-0.6071428571428568
13,0,A2,time,10,3.3928571428571432
13,0,A3,time,8,1.3928571428571432
13,0,A4,time,9,2.3928571428571432
14,0,A1,comp,1,-5.214285714285714
14,0,A2,comp,5,-1.2142857142857144
14,0,A3,comp,1,-5.214285714285714
14,0,A4,comp,8,1.7857142857142856
14,0,A1,lrn1,10,3.7857142857142856
14,0,A2,lrn1,7,0.7857142857142856
14,0,A3,lrn1,10,3.7857142857142856
14,0,A4,lrn1,9,2.7857142857142856
14,0,A1,lrn2,4,-2.2142857142857144
14,0,A2,lrn2,7,0.7857142857142856
14,0,A3,lrn2,5,-1.2142857142857144
14,0,A4,lrn2,7,0.7857142857142856
14,0,A1,int,1,-5.214285714285714
14,0,A2,int,4,-2.2142857142857144
14,0,A3,int,2,-4.214285714285714
14,0,A4,int,10,3.7857142857142856
14,0,A1,prog,10,3.7857142857142856
14,0,A2,prog,6,-0.2142857142857144
14,0,A3,prog,9,2.7857142857142856
14,0,A4,prog,2,-4.214285714285714
14,0,A1,rule,10,3.7857142857142856
14,0,A2,rule,5,-1.2142857142857144
14,0,A3,rule,10,3.7857142857142856
14,0,A4,rule,5,-1.2142857142857144
14,0,A1,time,10,3.7857142857142856
14,0,A2,time,6,-0.2142857142857144
14,0,A3,time,6,-0.2142857142857144
14,0,A4,time,4,-2.2142857142857144
15,0,A1,comp,5,-1.0357142857142856
15,0,A2,comp,10,3.9642857142857144
15,0,A3,comp,5,-1.0357142857142856
15,0,A4,comp,5,-1.0357142857142856
15,0,A1,lrn1,10,3.9642857142857144
15,0,A2,lrn1,10,3.9642857142857144
15,0,A3,lrn1,10,3.9642857142857144
15,0,A4,lrn1,10,3.9642857142857144
15,0,A1,lrn2,10,3.9642857142857144
15,0,A2,lrn2,10,3.9642857142857144
15,0,A3,lrn2,10,3.9642857142857144
15,0,A4,lrn2,10,3.9642857142857144
15,0,A1,int,1,-5.035714285714286
15,0,A2,int,10,3.9642857142857144
15,0,A3,int,1,-5.035714285714286
15,0,A4,int,1,-5.035714285714286
15,0,A1,prog,1,-5.035714285714286
15,0,A2,prog,10,3.9642857142857144
15,0,A3,prog,1,-5.035714285714286
15,0,A4,prog,1,-5.035714285714286
15,0,A1,rule,5,-1.0357142857142856
15,0,A2,rule,10,3.9642857142857144
15,0,A3,rule,5,-1.0357142857142856
15,0,A4,rule,5,-1.0357142857142856
15,0,A1,time,1,-5.035714285714286
15,0,A2,time,10,3.9642857142857144
15,0,A3,time,1,-5.035714285714286
15,0,A4,time,1,-5.035714285714286
16,0,A1,comp,2,-3.4642857142857144
16,0,A2,comp,7,1.5357142857142856
16,0,A3,comp,9,3.5357142857142856
16,0,A4,comp,9,3.5357142857142856
16,0,A1,lrn1,9,3.5357142857142856
16,0,A2,lrn1,9,3.5357142857142856
16,0,A3,lrn1,9,3.5357142857142856
16,0,A4,lrn1,9,3.5357142857142856
16,0,A1,lrn2,1,-4.464285714285714
16,0,A2,lrn2,8,2.5357142857142856
16,0,A3,lrn2,8,2.5357142857142856
16,0,A4,lrn2,8,2.5357142857142856
16,0,A1,int,7,1.5357142857142856
16,0,A2,int,2,-3.4642857142857144
16,0,A3,int,2,-3.4642857142857144
16,0,A4,int,2,-3.4642857142857144
16,0,A1,prog,10,4.535714285714286
16,0,A2,prog,2,-3.4642857142857144
16,0,A3,prog,2,-3.4642857142857144
16,0,A4,prog,2,-3.4642857142857144
16,0,A1,rule,10,4.535714285714286
16,0,A2,rule,2,-3.4642857142857144
16,0,A3,rule,3,-2.4642857142857144
16,0,A4,rule,3,-2.4642857142857144
16,0,A1,time,10,4.535714285714286
16,0,A2,time,2,-3.4642857142857144
16,0,A3,time,3,-2.4642857142857144
16,0,A4,time,3,-2.4642857142857144
17,0,A1,comp,1,-5.25
17,0,A2,comp,1,-5.25
17,0,A3,comp,8,1.75
17,0,A4,comp,10,3.75
17,0,A1,lrn1,8,1.75
17,0,A2,lrn1,8,1.75
17,0,A3,lrn1,8,1.75
17,0,A4,lrn1,8,1.75
17,0,A1,lrn2,1,-5.25
17,0,A2,lrn2,1,-5.25
17,0,A3,lrn2,10,3.75
17,0,A4,lrn2,6,-0.25
17,0,A1,int,2,-4.25
17,0,A2,int,4,-2.25
17,0,A3,int,10,3.75
17,0,A4,int,10,3.75
17,0,A1,prog,10,3.75
17,0,A2,prog,10,3.75
17,0,A3,prog,7,0.75
17,0,A4,prog,1,-5.25
17,0,A1,rule,10,3.75
17,0,A2,rule,10,3.75
17,0,A3,rule,7,0.75
17,0,A4,rule,1,-5.25
17,0,A1,time,3,-3.25
17,0,A2,time,3,-3.25
17,0,A3,time,9,2.75
17,0,A4,time,8,1.75
18,0,A1,comp,4,-2.678571428571429
18,0,A2,comp,1,-5.678571428571429
18,0,A3,comp,10,3.321428571428571
18,0,A4,comp,10,3.321428571428571
18,0,A1,lrn1,10,3.321428571428571
18,0,A2,lrn1,6,-0.6785714285714288
18,0,A3,lrn1,10,3.321428571428571
18,0,A4,lrn1,10,3.321428571428571
18,0,A1,lrn2,1,-5.678571428571429
18,0,A2,lrn2,1,-5.678571428571429
18,0,A3,lrn2,6,-0.6785714285714288
18,0,A4,lrn2,4,-2.678571428571429
18,0,A1,int,10,3.321428571428571
18,0,A2,int,10,3.321428571428571
18,0,A3,int,3,-3.678571428571429
18,0,A4,int,7,0.3214285714285712
18,0,A1,prog,10,3.321428571428571
18,0,A2,prog,10,3.321428571428571
18,0,A3,prog,3,-3.678571428571429
18,0,A4,prog,5,-1.6785714285714288
18,0,A1,rule,10,3.321428571428571
18,0,A2,rule,10,3.321428571428571
18,0,A3,rule,2,-4.678571428571429
18,0,A4,rule,7,0.3214285714285712
18,0,A1,time,9,2.321428571428571
18,0,A2,time,7,0.3214285714285712
18,0,A3,time,4,-2.678571428571429
18,0,A4,time,7,0.3214285714285712
19,0,A1,comp,10,4.857142857142857
19,0,A2,comp,10,4.857142857142857
19,0,A3,comp,3,-2.1428571428571432
19,0,A4,comp,5,-0.14285714285714324
19,0,A1,lrn1,6,0.8571428571428568
19,0,A2,lrn1,5,-0.14285714285714324
19,0,A3,lrn1,9,3.8571428571428568
19,0,A4,lrn1,8,2.8571428571428568
19,0,A1,lrn2,3,-2.1428571428571432
19,0,A2,lrn2,3,-2.1428571428571432
19,0,A3,lrn2,10,4.857142857142857
19,0,A4,lrn2,5,-0.14285714285714324
19,0,A1,int,1,-4.142857142857143
19,0,A2,int,1,-4.142857142857143
19,0,A3,int,10,4.857142857142857
19,0,A4,int,3,-2.1428571428571432
19,0,A1,prog,1,-4.142857142857143
19,0,A2,prog,1,-4.142857142857143
19,0,A3,prog,8,2.8571428571428568
19,0,A4,prog,1,-4.142857142857143
19,0,A1,rule,6,0.8571428571428568
19,0,A2,rule,6,0.8571428571428568
19,0,A3,rule,10,4.857142857142857
19,0,A4,rule,6,0.8571428571428568
19,0,A1,time,1,-4.142857142857143
19,0,A2,time,1,-4.142857142857143
19,0,A3,time,10,4.857142857142857
19,0,A4,time,1,-4.142857142857143
20,0,A1,comp,4,-3.178571428571429
20,0,A2,comp,2,-5.178571428571429
20,0,A3,comp,9,1.8214285714285712
20,0,A4,comp,5,-2.178571428571429
20,0,A1,lrn1,8,0.8214285714285712
20,0,A2,lrn1,6,-1.1785714285714288
20,0,A3,lrn1,8,0.8214285714285712
20,0,A4,lrn1,9,1.8214285714285712
20,0,A1,lrn2,5,-2.178571428571429
20,0,A2,lrn2,2,-5.178571428571429
20,0,A3,lrn2,8,0.8214285714285712
20,0,A4,lrn2,5,-2.178571428571429
20,0,A1,int,9,1.8214285714285712
20,0,A2,int,7,-0.17857142857142883
20,0,A3,int,8,0.8214285714285712
20,0,A4,int,10,2.821428571428571
20,0,A1,prog,9,1.8214285714285712
20,0,A2,prog,10,2.821428571428571
20,0,A3,prog,5,-2.178571428571429
20,0,A4,prog,8,0.8214285714285712
20,0,A1,rule,9,1.8214285714285712
20,0,A2,rule,10,2.821428571428571
20,0,A3,rule,7,-0.17857142857142883
20,0,A4,rule,7,-0.17857142857142883
20,0,A1,time,8,0.8214285714285712
20,0,A2,time,7,-0.17857142857142883
20,0,A3,time,7,-0.17857142857142883
20,0,A4,time,9,1.8214285714285712
21,0,A1,comp,5,-1.25
21,0,A2,comp,4,-2.25
21,0,A3,comp,9,2.75
21,0,A4,comp,10,3.75
21,0,A1,lrn1,9,2.75
21,0,A2,lrn1,10,3.75
21,0,A3,lrn1,7,0.75
21,0,A4,lrn1,8,1.75
21,0,A1,lrn2,1,-5.25
21,0,A2,lrn2,1,-5.25
21,0,A3,lrn2,10,3.75
21,0,A4,lrn2,10,3.75
21,0,A1,int,10,3.75
