index,sid,form,group,aicc,step,scale,comp,unc,∆comp,∆unc,PC1,PC2
74,93,comp + unc + ∆comp + ∆unc,0,707.744710373444,1.0,0.050515733940201465,-0.0004703618121850333,1.0,0.12950304951483985,-1.0,-0.8653448489759978,1.0587785289119147
75,94,comp + unc + ∆comp + ∆unc,0,691.3373103734441,0.00018438259901135145,3.544691746148692e-09,-0.9999999750205174,1.0,-0.9999999953563948,-1.0,-0.6068976193721313,1.00999373849217
76,95,comp + unc + ∆comp + ∆unc,0,463.40531037344397,0.14060772684884715,0.6099865553537193,0.0004229358182849293,-0.21830538758029414,0.2479607418153472,-1.0,-0.974041076460594,-0.08859661899911288
77,97,comp + unc + ∆comp + ∆unc,0,513.516910373444,0.9997489034165972,0.005596397889804781,-0.0005135112109729351,0.733834150292164,-0.007663169831899314,-1.0,-0.8515363212231276,0.7747912617732162
78,98,comp + unc + ∆comp + ∆unc,0,327.05571037344396,0.5531755487149796,0.1955240330836816,0.004014863076987953,0.2998569381652416,-0.05580482041007637,0.3963195582681768,0.4861233546435101,0.32265133056013406
79,99,comp + unc + ∆comp + ∆unc,0,710.517310373444,0.184814975498272,0.8647945182483711,-0.07697499495971089,-0.10271447156287647,-0.4564660284013096,1.0,1.1374305872275374,-0.14209665250984788
80,100,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.2509209811663034,0.9221695469642454,0.004317206093823532,0.005689110611570619,0.5343795599499108,-0.4803078711044128,-0.5205168267849324,0.17567927816899995
81,101,comp + unc + ∆comp + ∆unc,0,665.6957103734442,0.2431548696973597,0.9926753282849554,-0.007813696622303863,-0.013480183338092162,0.8631331509083073,1.0,0.839555982965844,0.20109593362741243
82,102,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.15164421037370718,0.8722907228793314,-0.01816343222410276,-0.16929490471929504,0.4003023850385506,-1.0,-1.0058884425840429,-0.006909746269488692
83,103,comp + unc + ∆comp + ∆unc,0,564.660510373444,0.2828865338353469,0.13182553915109055,-0.005308742993908195,-0.024959402088571885,-0.06572756439014651,0.2401452468250901,0.31507150945302737,0.01270175981507572
84,104,comp + unc + ∆comp + ∆unc,0,710.517310373444,0.055099076495441865,0.0701241468824671,-0.0007009060533151723,-0.6609032865374254,0.09468273326305296,-0.9984007984709886,-0.9667606118885028,-0.5453576893568397
85,108,comp + unc + ∆comp + ∆unc,0,518.3863103734442,0.0238869335735153,0.4478488213843214,0.019303178307288345,-0.4663210062007489,0.06651795146669037,-1.0,-0.9487883822348963,-0.3676430603152842
86,109,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.3437509899350257,0.9458780177297906,0.004279143618702917,-0.000926173360618044,-0.11158521557738876,0.7172053236828881,0.7903922975073514,0.01641857135799074
87,110,comp + unc + ∆comp + ∆unc,0,264.28171037344396,1.0,0.18504758085034426,0.3902013402089953,-1.0,0.2604076466542329,0.9999995199286392,0.9131501604621864,-0.943410172481331
88,111,comp + unc + ∆comp + ∆unc,0,710.517310373444,0.4263997579152423,1.0,0.008145422639791318,0.0018138047128915267,0.6948844420845187,1.0,0.8793599483569413,0.1784648805058536
89,112,comp + unc + ∆comp + ∆unc,0,697.622910373444,0.9862024608261196,0.9021942811959716,3.671743624755037e-05,-0.9992120002963256,-0.7425466165567662,0.9999988092076024,1.1435503818028738,-1.0766987326553739
90,113,comp + unc + ∆comp + ∆unc,0,721.6077103734441,0.3500824389706588,0.7383294439386388,0.003237405683775775,0.026287453135026145,-0.06700903497844908,0.17666914084813995,0.2571826077129807,0.06125564398876641
91,114,comp + unc + ∆comp + ∆unc,0,710.517310373444,0.0024188929345464482,0.0,-0.3010964885212738,-1.0,1.0,1.0,0.7416012108729513,-0.665980282836855
92,115,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.945238061375554,0.9043378749689792,-0.0009678995612461935,-0.3573283035841647,1.0,-0.941084024800676,-1.0993621693569233,-0.0691628602717749
93,116,comp + unc + ∆comp + ∆unc,0,634.291110373444,0.024027332262959743,0.3814134007583451,-0.0039292866129003855,-0.7814849936615076,-0.00776605178293386,-1.0,-0.9527783871666843,-0.681647575733354
94,117,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.9497704379755858,0.0059562415055591286,0.011710186819086324,-0.8577685978018423,0.15164210572893214,-1.0,-0.9945671320210148,-0.7252333294037885
95,118,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.0931616132057322,0.5156151969793068,0.0040638207023944856,-0.3848531825641081,0.08311217704529042,-0.8418769104126977,-0.7936852401959853,-0.285871086747398
96,119,comp + unc + ∆comp + ∆unc,0,707.744710373444,1.0,0.8537074233103923,0.0005061819248537261,0.28949092803590737,0.8705787447164411,-1.0,-1.083521879166239,0.5270501506766386
97,123,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.987011005621378,0.8645771103591096,0.0021199229719560397,-0.31328201669059785,-0.8212327782880569,1.0,1.2075163903516075,-0.4336293746805081
98,124,comp + unc + ∆comp + ∆unc,0,713.2899103734441,0.05126559824639789,0.9146661195792596,0.0653385702915281,0.13172943493206118,-1.0,0.3956053146194639,0.6917868434259167,-0.04337761368442022
99,125,comp + unc + ∆comp + ∆unc,0,376.170110373444,0.007480491011830286,0.09858652266604948,0.8822141476164704,-0.9999999491442656,-0.9995494870331759,-0.9569623423176644,-0.6956239950366615,-1.2570769925762453
100,126,comp + unc + ∆comp + ∆unc,0,472.568910373444,0.8977785624978112,0.004542003394708669,0.000392743374708852,-0.5855923443094043,0.06834848698562596,-0.6193448021915545,-0.587668388879151,-0.48509419731248143
101,127,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.3689740119576273,0.047766977890276695,0.2937653892647807,0.5871825409921579,-0.2875649755595896,0.6041259802115647,0.7609476054890585,0.49505383193152064
102,128,comp + unc + ∆comp + ∆unc,0,596.737110373444,0.8670393590038067,0.2293409282598492,0.003469244492699484,-0.010969271175034587,0.01645187193672454,-0.00683982587254504,0.05731634080474649,0.04564401452079403
103,129,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.2452342360115706,0.4987734457634724,-0.03763729045004032,-0.04968906739632682,-0.015650733474574068,0.17489479307763725,0.23848264988760282,0.006196383711748717
104,130,comp + unc + ∆comp + ∆unc,0,660.390110373444,0.9943640725021358,0.5800677911064083,0.0036254338977074335,1.0,-0.017137044973760264,0.0071118364005530125,0.14615506094041533,1.0105892439730675
105,132,comp + unc + ∆comp + ∆unc,0,254.71711037344397,0.08590158913624052,0.06807817767390402,-0.012755491016835728,0.6195035311507446,-0.04565738620693813,0.9791268972206659,1.0709132464088122,0.6250487621406918
106,133,comp + unc + ∆comp + ∆unc,0,713.2899103734441,0.05614107726648214,0.3340150947069546,0.014603448667280725,0.7333723915696728,-0.06907083950910063,1.0,1.1042264980235719,0.724395633662728
107,134,comp + unc + ∆comp + ∆unc,0,681.761510373444,0.0012928108613851554,0.4538671114008279,-0.3882276774902472,1.0,0.9992241566831616,-1.0,-1.0663449719414357,1.3074652117335819
108,135,comp + unc + ∆comp + ∆unc,0,593.3183103734441,0.0035035137460987004,0.0,0.5525228032406242,-1.0,-0.7517585249567973,1.0,1.1465730203705176,-1.1801208656395947
109,137,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.6164979993062087,0.0780102757242961,0.002432355810222539,0.07868203790368898,-0.016336114125155947,0.09719614739996826,0.17185713434971703,0.12352635740111698
110,140,comp + unc + ∆comp + ∆unc,0,654.2229103734439,0.955563192032866,0.9574613217217842,0.19334790436662225,0.6932492094050569,-0.881003545257811,-0.1924707027873258,0.13120992513194824,0.5077265963615769
111,141,comp + unc + ∆comp + ∆unc,0,710.517310373444,0.7564797475049524,0.9896293912412828,0.0040224952863199895,-0.046576262298910695,1.0,0.3056216682957269,0.1317283656212485,0.2071412178700071
112,142,comp + unc + ∆comp + ∆unc,0,418.287710373444,0.963140207843004,0.5572899795670767,0.0025632466062738336,-1.0,0.6852061865318475,-0.7353572065653377,-0.870070412060121,-0.7557346250945899
113,143,comp + unc + ∆comp + ∆unc,0,713.2899103734441,0.0010948457128624569,0.0,-0.8234837512440084,0.8812353087413072,1.0,-0.9331653837241708,-1.010326422294503,1.2716651715310565
114,145,comp + unc + ∆comp + ∆unc,0,707.744710373444,0.2494441379187896,0.96539544510366,0.003153488107573544,0.0003701214726132643,-1.0,-0.4769249544609238,-0.16416071284409278,-0.14323409199606543
115,146,comp + unc + ∆comp + ∆unc,0,400.140310373444,0.13034067330781407,0.6788510231162002,0.014186747864547941,-0.01906685522144496,0.6325175826879831,-1.0,-1.0492823340289543,0.17915363426076078
116,147,comp + unc + ∆comp + ∆unc,0,380.485110373444,1.0,0.1660928678669065,-0.0028620298971346924,0.3023330473821342,0.03203014766293366,-0.038768710263624856,0.0436563500229622,0.35179214715924073
117,148,comp + unc + ∆comp + ∆unc,0,713.2899103734441,0.5642989831117414,0.0663963485082562,-0.018605468993064055,0.03925363823243395,-0.10419086434960367,0.26400758691340537,0.35136505154916514,0.06858744764151191
118,149,comp + unc + ∆comp + ∆unc,0,710.517310373444,0.0003629182806819656,0.10370467090920693,-0.9999994893871336,1.0,0.9129420592456498,-1.0,-1.0475251830610137,1.4014047696761778
119,152,comp + unc + ∆comp + ∆unc,0,240.587710373444,0.03189943671558782,0.36454308690928977,0.023096824842027203,-0.465972028407801,0.15942742833982188,-1.0,-0.9701593161420379,-0.3489891023662092
120,153,comp + unc + ∆comp + ∆unc,0,480.753310373444,0.4515321553506389,0.7668465398784851,-0.31333264641842884,-0.4134441166267032,-0.4007793119024041,0.9999983266720552,1.1034304466971214,-0.3863673721679407
121,154,comp + unc + ∆comp + ∆unc,0,707.744710373444,1.0,0.8505422514838387,-0.0008959215359586023,0.22044439402049984,-0.8520749229000684,1.0,1.2502811803005738,0.07380967929131449
122,155,comp + unc + ∆comp + ∆unc,0,706.9505103734442,0.9862681353419978,0.8535615711051272,0.00011792257269735972,-0.9999999202335628,-0.7378583892439052,1.0,1.142419138258364,-1.0765119148792937
